调试专用,#genre#
清明上河图1高清,https://m3u8ipay.vodfile.m1905.com/202411161119/5a842d2aa0e7d7a29854850bc94e3cbf/movie/2021/10/15/m20211015276S7BOGWO2SGPAE/68B84C47C191AEC5EC28EAA40.m3u8
19好莱坞电影 中字,http://50.7.234.10:8278/hollywoodmovies_twn/playlist.m3u8?tid=MA8A4005638840056388&ct=18392&tsum=a1f1517d4ea64fd01267905f21d83859
NBA湖人,http://pull-m1.wxlivecdn.com/trtc_1400439699/live_2042719468264445223.m3u8?extbuf=2XBnn7yVGCXLauEx+s0r9VBnvZCAr5/6RVFxpTDPKWBHUkCSzWio7sAF6xKvvieIW6QiTZubImYtTCLbfmzX9CG9GJlY89O3PxR44L2G04g0PJh+Ya0XeFkRJcbWhVg78WrhK+nW7JzKx71FH4qdgMA2lCasaiOVcLwZ9oMR478rwGNRdmLM94lm8Oql8SmbnQOtoi3a/2Ee+G/f&openid=reqtoken_1_b4dd0fa0efd059f4293d1035419669b3_240_0_16&txSecret=180a17be4c73e29cc859556e4e199ce1&txTime=67380CF6&wxtoken=3d44bbb1ede9cbb0e28538228b0ea327&combuf=ConZPjKMKgTaX4ndR0FuAweI2wJQvFyxXPJOEpQpQGq/F0rQ4h83/359lURX38o1KzskLXwZXUykeW8QDruUkINS/P7TWk7bFAts2DX8SQjTULNRXfgNaeHLPliv2/A/n5M5Fxq/qZEeuOSJwKTKg4qmMt5PGhCMow==&sc=4&gid=9195170&wu=1&vdt=0&rt=0&q=4&vcodec=1&sv=1&abr_pts=1845278

中央频道,#genre#
CCTV1,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8
CCTV1,http://[2409:8087:74d9:21::4]/270000001128/index.m3u8?cmcc_cid=9900000001
CCTV1,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000501
CCTV1,http://php.jdshipin.com:8880/bst.php?id=cctv1hd/4000000
CCTV10,http://[2409:8087:74d9:21::4]/270000001128/index.m3u8?cmcc_cid=9900000506
CCTV10,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000506
CCTV10,http://php.jdshipin.com:8880/bst.php?id=cctv10hd/4000000
CCTV11,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226565/index.m3u8
CCTV11,http://[2409:8087:74d9:21::4]/270000001128/index.m3u8?cmcc_cid=9900000508
CCTV11,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000508
CCTV11,http://php.jdshipin.com:8880/bst.php?id=cctv11hd8m/8000000
CCTV12,http://[2409:8087:74d9:21::4]/270000001128/index.m3u8?cmcc_cid=9900000509
CCTV12,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000509
CCTV12,http://php.jdshipin.com:8880/bst.php?id=cctv12hd8m/8000000
CCTV13,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
CCTV13,http://[2409:8087:74d9:21::4]/270000001128/index.m3u8?cmcc_cid=9900000510
CCTV13,http://php.jdshipin.com/TVOD/gsyd.php?id=9900000510
CCTV13,http://php.jdshipin.com:8880/bst.php?id=cctv13
CCTV14,http://[2409:8087:74d9:21::4]/270000001128/index.m3u8?cmcc_cid=9900000511
